                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0585,                 7.8939,                 1.3385,                0.00074,                    0.5,                0.00261,                0.00044,                 2.4946,                 8.0499,                 1.1829,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.4602,                 7.4532,                  1.395,                0.00074,                    0.5,                0.00237,                 0.0004,                 2.4829,                 8.2494,                 1.1936,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 2.3879,                 6.9436,                 1.4022,                0.93258,                      1,                  0.995,                 0.5184,                 1.8237,                 5.6156,                 1.0496,             0.00015683,             0.00015683,             0.00015683
                      4,                 1.5421,                 3.2517,                 1.0449,                0.02262,                      1,                0.02412,                0.01944,                 0.7256,                 45.409,                0.74517,             0.00021347,             0.00021347,             0.00021347
                      5,                 1.0914,                 1.8136,                0.91363,                0.01182,                      1,                0.01188,                0.00784,                 1.2146,                 260.07,                0.90323,             0.00026891,             0.00026891,             0.00026891
                      6,                0.95603,                 1.1341,                0.89183,                0.03309,                      1,                0.03902,                0.02863,                0.95723,                 56.022,                0.85871,             0.00032317,             0.00032317,             0.00032317
                      7,                0.86518,                 1.0216,                0.86568,                0.64276,                0.46414,                0.66167,                 0.4921,                 0.9865,                 1.6902,                0.80337,             0.00037624,             0.00037624,             0.00037624
                      8,                0.74506,                 1.2613,                0.81574,                0.98676,                      1,                  0.995,                0.74589,                 1.0022,                0.93916,                0.82427,             0.00042812,             0.00042812,             0.00042812
                      9,                0.79763,                0.70121,                0.85721,                0.99326,                      1,                  0.995,                0.80412,                0.86073,                0.75776,                0.81985,             0.00047882,             0.00047882,             0.00047882
                     10,                0.79367,                0.76395,                0.91013,                0.98744,                      1,                  0.995,                0.77926,                0.88376,                0.87691,                 0.8108,             0.00052832,             0.00052832,             0.00052832
                     11,                0.80462,                0.85572,                0.78808,                0.66643,                   0.75,                0.68728,                0.55557,                  1.014,                 1.4494,                0.82943,             0.00057664,             0.00057664,             0.00057664
                     12,                0.99482,                0.72185,                0.90275,                0.98212,                   0.75,                0.76113,                0.54101,                 1.0905,                 1.3551,                0.83037,             0.00062377,             0.00062377,             0.00062377
                     13,                 1.0919,                0.87034,                0.83802,                0.52658,                   0.75,                0.56353,                0.50701,                0.80385,                 3.4138,                0.78917,             0.00066971,             0.00066971,             0.00066971
                     14,                0.80323,                0.61826,                0.82431,                0.61174,                    0.5,                0.60214,                 0.4181,                0.88915,                 1.9746,                 0.8683,             0.00071447,             0.00071447,             0.00071447
                     15,                0.91883,                 1.1747,                0.83636,                0.99992,                      1,                  0.995,                0.80827,                0.75521,                 1.8962,                0.78528,             0.00075803,             0.00075803,             0.00075803
                     16,                 1.0875,                0.83446,                 0.9316,                0.99992,                      1,                  0.995,                0.80827,                 5.2949,                 12.873,                 3.4799,             0.00080041,             0.00080041,             0.00080041
                     17,                0.98195,                 1.0502,                0.91568,                0.99992,                      1,                  0.995,                0.80827,                      0,                 5.4297,                      0,              0.0008416,              0.0008416,              0.0008416
                     18,                0.93311,                 1.4141,                0.88738,                0.99992,                      1,                  0.995,                0.80827,                      0,                 246.25,                      0,              0.0008816,              0.0008816,              0.0008816
                     19,                0.93872,                0.81512,                0.88847,                0.99992,                      1,                  0.995,                0.80827,                    nan,                    nan,                    nan,             0.00092042,             0.00092042,             0.00092042
                     20,                0.88292,                0.83989,                0.87054,                0.99992,                      1,                  0.995,                0.80827,                    nan,                    nan,                    nan,             0.00095804,             0.00095804,             0.00095804
                     21,                0.99667,                  0.594,                0.88729,                0.99992,                      1,                  0.995,                0.80827,                    nan,                    nan,                    nan,             0.00099448,             0.00099448,             0.00099448
                     22,                 0.9227,                 1.1586,                0.89442,                0.99992,                      1,                  0.995,                0.80827,                    nan,                    nan,                    nan,              0.0010297,              0.0010297,              0.0010297
                     23,                 1.1191,                0.72468,                 0.8728,                0.99992,                      1,                  0.995,                0.80827,                    nan,                    nan,                    nan,              0.0010638,              0.0010638,              0.0010638
                     24,                0.89265,                0.69833,                0.89374,                0.99992,                      1,                  0.995,                0.80827,                    nan,                    nan,                    nan,              0.0010967,              0.0010967,              0.0010967
                     25,                0.76081,                0.65497,                0.88171,                0.99992,                      1,                  0.995,                0.80827,                    nan,                    nan,                    nan,              0.0011284,              0.0011284,              0.0011284
                     26,                0.96273,                 0.6734,                0.86986,                0.99992,                      1,                  0.995,                0.80827,                    nan,                    nan,                    nan,              0.0011588,              0.0011588,              0.0011588
                     27,                 1.0217,                0.64132,                0.83574,                0.99992,                      1,                  0.995,                0.80827,                    nan,                    nan,                    nan,              0.0011882,              0.0011882,              0.0011882
                     28,                0.95466,                0.74099,                0.89989,                0.99992,                      1,                  0.995,                0.80827,                    nan,                    nan,                    nan,              0.0012163,              0.0012163,              0.0012163
                     29,                0.98911,                0.57821,                0.91247,                0.99992,                      1,                  0.995,                0.80827,                    nan,                    nan,                    nan,              0.0012432,              0.0012432,              0.0012432
                     30,                0.81214,                0.63223,                0.85824,                0.99992,                      1,                  0.995,                0.80827,                      0,                 3.2988,                      0,               0.001269,               0.001269,               0.001269
                     31,                0.96696,                 0.6633,                0.87264,                0.99992,                      1,                  0.995,                0.80827,                      0,                0.10156,                      0,              0.0012935,              0.0012935,              0.0012935
                     32,                0.80941,                0.74301,                0.93028,                0.99992,                      1,                  0.995,                0.80827,                      0,                 6.4844,                      0,              0.0013169,              0.0013169,              0.0013169
                     33,                0.84646,                0.63002,                0.87056,                0.99992,                      1,                  0.995,                0.80827,                      0,                 6.4844,                      0,              0.0013391,              0.0013391,              0.0013391
                     34,                0.82717,                0.58897,                0.85018,                0.97277,                   0.25,                0.24795,                0.17356,                 1.2351,                 2.0229,                 1.0454,              0.0013466,              0.0013466,              0.0013466
